slug	product_count	confidence	top_score	top_suggestion	depth	alternatives
sex	256	medium	0.725	Φαρμακείο > Σεξ	2	Φαρμακείο > Σεξ > Διεγερτικά (0.6167) | Φαρμακείο > Σεξ > Λιπαντικά (0.6167)
andras/soma	253	low	0.5	Σώμα	1	Άνδρας (0.5) | Σώμα > Εποχιακά (0.4167)
epochiaka/antiliaka	241	high	1.0	Εποχιακά > Αντηλιακά	2	Εποχιακά > Αντηλιακά > Αντηλιακά Σώματος (0.7833) | Σώμα > Εποχιακά > Αντηλιακά Σώματος (0.7)
farmakeio/diagnostika-iatrika-syskeves	231	low	0.3679	ΙΑΤΡΙΚΑ ΕΙΔΗ > ΙΑΤΡΙΚΑ ΒΟΗΘΗΜΑΤΑ > ΔΙΑΓΝΩΣΤΙΚΑ ΤΕΣΤ	3	Φαρμακείο (0.25) | Φαρμακείο (0.25)
mama-paidi/trofes	231	medium	0.6667	Μαμά - Παιδί	1	Μαμά - Παιδί > Φροντίδα Μωρού - Παιδιού (0.4667) | Μαμά - Παιδί > Φροντίδα Μωρού - Παιδιού > Πάνες - Μωρομάντηλα (0.3917)
mama-paidi/frontida-morou-paidiou	226	high	1.0	Μαμά - Παιδί > Φροντίδα Μωρού - Παιδιού	2	Μαμά - Παιδί > Φροντίδα Μωρού - Παιδιού > Πάνες - Μωρομάντηλα (0.8071) | Γονείς & Παιδί > Φροντίδα Μωρού (0.55)
μαλλια	214	high	1.0	Μαλλιά	1	Μαλλιά > Σαμπουάν (0.725) | Άνδρας > Μαλλιά (0.725)
vitamins-dietary-supplements/vitamins	207	none	0.0		0	
enallaktikes-therapeies/aromatotherapeia	202	none	0.2214	Μαλλιά > Scalp Scrub > ΘΕΡΑΠΕΙΕΣ ΜΑΛΛΙΩΝ	3	Πρόσωπο > Κρέμες Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131) | Πρόσωπο > Καθαρισμός Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131)
vitamines-simpliromata/votana-ekxylismata	199	low	0.5	Συμπληρώματα > Βιταμίνες	2	Συμπληρώματα > Βότανα (0.5) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ (0.45)
farmakeio/protes-voitheies	182	low	0.5833	Φαρμακείο > Πρώτες Βοήθειες	2	Φαρμακείο > Πρώτες Υλες Καλλυντικών (0.5167) | Φαρμακείο > Πρώτες Βοήθειες > Αντιμικροβιακά (0.5167)
vitamines-simpliromata/eidika-sympliromata	177	medium	0.825	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΕΙΔΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ	2	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΕΙΔΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ > ΓΑΣΤΡΟΕΙΣΟΦΑΓΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ (0.7) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΕΙΔΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ > ΣΥΜΠΛΗΡΩΜΑΤΑ ΑΝΟΣΟΠΟΙΗΤΙΚΟΥ (0.7)
andras/prosopo	175	high	1.0	Άνδρας > Πρόσωπο	2	Άνδρας > Πρόσωπο > Ακμή - Κρέμες - Καθαριστικά (0.625) | Πρόσωπο (0.5)
mama-paidi/aksesouar-morou	142	medium	0.675	Γονείς & Παιδί > Αξεσουάρ Μωρού	2	Μαμά - Παιδί > Φροντίδα Μωρού - Παιδιού (0.6062) | Γονείς & Παιδί > Αξεσουάρ Μωρού > Κύπελα (0.6062)
andras/mallia	132	high	1.0	Άνδρας > Μαλλιά	2	Άνδρας > Μαλλιά > Αντρική Τριχόπτωση (0.7) | Μαλλιά (0.5)
mama-moro	132	low	0.4167	Μαμά - Παιδί	1	Μαμά - Παιδί > Φροντίδα Μωρού - Παιδιού (0.2958) | Μαμά - Παιδί > Φροντίδα Μωρού - Παιδιού > Πάνες - Μωρομάντηλα (0.25)
viologika-trofima/trofima-2	128	none	0.0		0	
gynaika/evaisthiti-perioxi	117	none	0.3333	Γυναίκα	1	Γυναίκα > Σώμα (0.2917) | Γυναίκα > Μαλλιά (0.2917)
athlites/energeia-antoxi	97	none	0.0		0	
farmakeio/orthopedika-anatomika	96	none	0.3333	ΟΡΘΟΠΕΔΙΚΑ	1	Φαρμακείο (0.3333) | Φαρμακείο (0.3333)
athlites/athlitikes-etaireies	94	none	0.0		0	
viologika-trofima/snak	86	none	0.2667	ΔΙΑΤΡΟΦΗ > ΑΛΜΥΡΑ ΣΝΑΚ	2	ΔΙΑΤΡΟΦΗ > ΑΛΜΥΡΑ ΣΝΑΚ > ΑΛΛΑ ΣΝΑΚ (0.2333) | ΒΡΕΦΟΣ ΚΑΙ ΠΑΙΔΙ > ΒΡΕΦΙΚΗ : ΠΑΙΔΙΚΗ ΔΙΑΤΡΟΦΗ > ΠΑΙΔΙΚΑ ΣΝΑΚ (0.175)
athlites/travmatismoi-arthroseis	84	none	0.1722	Συμπληρώματα > Συμπληρώματα Ανα Ανάγκη > Οστά – Αρθρώσεις – Οστεοπόρωση	3	
vitamines	83	medium	0.725	Συμπληρώματα > Βιταμίνες	2	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ (0.6167) | Συμπληρώματα > Βιταμίνες > Πολυβιταμίνες (0.6167)
viologika-trofima/rofimata	80	none	0.2917	ΔΙΑΤΡΟΦΗ > ΡΟΦΗΜΑΤΑ	2	ΔΙΑΤΡΟΦΗ > ΡΟΦΗΜΑΤΑ > ΚΑΦΕΣ (0.2667) | ΔΙΑΤΡΟΦΗ > ΡΟΦΗΜΑΤΑ > ΤΣΑΙ (0.2667)
adynatisma/adynatistika	77	none	0.325	Σώμα > Αδυνάτισμα και Κυτταρίτιδα	2	Συμπληρώματα > Συμπληρώματα Ανα Ανάγκη > Αδυνατιστικά Συμπληρώματα (0.3) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΑΔΥΝΑΤΙΣΤΙΚΑ ΠΡΟΪΟΝΤΑ (0.2958)
farmakeio/peripoiisi-podion	75	low	0.4667	ΠΡΟΣΩΠΙΚΗ ΥΓΙΕΙΝΗ > ΠΕΡΙΠΟΙΗΣΗ ΠΟΔΙΩΝ/ ΠΕΛΜΑΤΩΝ	2	ΠΡΟΣΩΠΙΚΗ ΥΓΙΕΙΝΗ > ΠΕΡΙΠΟΙΗΣΗ ΠΟΔΙΩΝ/ ΠΕΛΜΑΤΩΝ > ΠΕΡΙΠΟΙΗΣΗ ΠΟΔΙΩΝ (0.4333) | ΠΡΟΣΩΠΙΚΗ ΥΓΙΕΙΝΗ > ΠΕΡΙΠΟΙΗΣΗ ΠΟΔΙΩΝ/ ΠΕΛΜΑΤΩΝ > ΥΓΙΕΙΝΗ ΠΟΔΙΩΝ (0.4333)
enallaktikes-therapeies/fytotherapeia	73	none	0.2214	Μαλλιά > Scalp Scrub > ΘΕΡΑΠΕΙΕΣ ΜΑΛΛΙΩΝ	3	Πρόσωπο > Κρέμες Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131) | Πρόσωπο > Καθαρισμός Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131)
epochiaka/antikounoupika	70	medium	0.7	Σώμα > Εποχιακά > Εντομοαπωθητικά-Αντικουνουπικά	3	Εποχιακά (0.5) | Σώμα > Εποχιακά (0.4167)
enallaktikes-therapeies/ayurveda	69	none	0.2214	Μαλλιά > Scalp Scrub > ΘΕΡΑΠΕΙΕΣ ΜΑΛΛΙΩΝ	3	Πρόσωπο > Κρέμες Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131) | Πρόσωπο > Καθαρισμός Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131)
epohika	69	none	0.0		0	
akrateia	67	low	0.55	Φαρμακείο > Ακράτεια - Βοηθήματα Ακράτειας	2	Φαρμακείο > Ακράτεια - Βοηθήματα Ακράτειας (0.55) | ΙΑΤΡΙΚΑ ΕΙΔΗ > ΙΑΤΡΙΚΑ ΒΟΗΘΗΜΑΤΑ > ΑΚΡΑΤΕΙΑ (0.525)
vitamines-simpliromata/lipara-oksea	64	high	0.875	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΛΙΠΑΡΑ ΟΞΕΑ	2	Συμπληρώματα > Λιπαρά Οξέα (0.75) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΛΙΠΑΡΑ ΟΞΕΑ > KRILL OIL (0.7107)
vitamines-simpliromata/kollagono	59	high	0.85	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΚΟΛΛΑΓΟΝΟ	2	Συμπληρώματα > Βιταμίνες (0.6667) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ (0.5833)
dontia	57	none	0.0		0	
vitamines-simpliromata/metalla-ixnostoixeia	55	low	0.5	Συμπληρώματα > Βιταμίνες	2	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ (0.45) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΒΙΤΑΜΙΝΕΣ (0.45)
vitamines-simpliromata/antiokseidotika	48	medium	0.6667	Συμπληρώματα > Βιταμίνες	2	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ (0.5833) | Συμπληρώματα > Βιταμίνες > Πολυβιταμίνες (0.5833)
farmakeio/filtra-nerou	47	medium	0.6143	Φαρμακείο > Προϊόντα Οικιακής Χρήσης > Ανταλλακτικά Φίλτρα Νερού	3	ΓΕΝΙΚΑ ΕΙΔΗ > ΚΟΥΖΙΝΑ ΚΑΙ ΜΠΑΝΙΟ > ΦΙΛΤΡΑ ΝΕΡΟΥ (0.3917) | Φαρμακείο > Προϊόντα Οικιακής Χρήσης > Κανάτες Με Φίλτρο Νερού (0.3611)
farmakeio/ktiniatrika	45	low	0.5	Φαρμακείο	1	Φαρμακείο (0.5) | Φαρμακείο > Σεξ (0.4167)
athlites/eidiko-sympliroma	44	none	0.0		0	
athlhtismos	42	none	0.0		0	
vitamines-simpliromata/aminoksea	37	medium	0.6667	Συμπληρώματα > Βιταμίνες	2	Συμπληρώματα > Αμινοξέα (0.6667) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ (0.5833)
adynatisma/adynatistika-kallyntika	35	none	0.2417	Σώμα > Αδυνάτισμα και Κυτταρίτιδα	2	Συμπληρώματα > Συμπληρώματα Ανα Ανάγκη > Αδυνατιστικά Συμπληρώματα (0.225) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΑΔΥΝΑΤΙΣΤΙΚΑ ΠΡΟΪΟΝΤΑ (0.2214)
hlektrikes-suskeues	35	medium	0.625	Γονείς & Παιδί > Ηλεκτρικές Συσκευές Μωρού	2	ΟΜΟΡΦΙΑ > ΕΡΓΑΛΕΙΑ : ΑΞΕΣΟΥΑΡ > ΑΛΛΕΣ ΗΛΕΚΤΡΙΚΕΣ ΣΥΣΚΕΥΕΣ (0.5667) | Γονείς & Παιδί > Ηλεκτρικές Συσκευές Μωρού > Θερμόμετρα (0.5667)
mama-paidi/egkymosyni-thhlasmos	35	low	0.5	Μαμά - Παιδί	1	Γονείς & Παιδί > Θηλασμός (0.45) | Γονείς & Παιδί > Εγκυμοσύνη (0.45)
athlites/proteines	31	low	0.4167	Συμπληρώματα > Πρωτεΐνες	2	Συμπληρώματα > Πρωτεΐνες > ΣΥΜΠΛΗΡΩΜΑΤΑ ΕΙΔΙΚΗΣ ΔΙΑΤΡΟΦΗΣ (0.3125)
enallaktikes-therapeies/anthoiamata	26	none	0.2667	ΦΑΡΜΑΚΕΥΤΙΚΑ ΕΙΔΗ > ΑΝΘΟΪΑΜΑΤΑ	2	Μαλλιά > Scalp Scrub > ΘΕΡΑΠΕΙΕΣ ΜΑΛΛΙΩΝ (0.2214) | Πρόσωπο > Κρέμες Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131)
farmakeio/proionta-diaviti	19	low	0.5167	Φαρμακείο > Προϊόντα Οικιακής Χρήσης	2	Φαρμακείο > Προϊόντα Οικιακής Χρήσης > Ζυγαριές (0.4667) | Φαρμακείο > Προϊόντα Οικιακής Χρήσης > Απολυμαντικά Ρούχων (0.4262)
andras/seks-limpito	16	none	0.3333	Άνδρας	1	Φαρμακείο > Σεξ (0.2917) | Άνδρας > Μαλλιά (0.2917)
gynaika/simpliroma-diatrofis	14	none	0.3333	Γυναίκα	1	Γυναίκα > Σώμα (0.2917) | Γυναίκα > Μαλλιά (0.2917)
viologika-trofima/melissokomia	12	none	0.0		0	
athlites/aksesouar	12	low	0.4042	Μακιγιαζ > Αξεσουάρ Μακιγιάζ	2	ΟΜΟΡΦΙΑ > ΕΡΓΑΛΕΙΑ : ΑΞΕΣΟΥΑΡ (0.3625) | Γονείς & Παιδί > Αξεσουάρ Μωρού (0.325)
andras/aromata	11	low	0.5	Άνδρας	1	ΟΜΟΡΦΙΑ > ΑΡΩΜΑΤΑ (0.4167) | Σώμα > Αρώματα (0.4167)
andras/simpliromata-diatrofis	11	low	0.5833	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ	1	ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΒΙΤΑΜΙΝΕΣ (0.5667) | ΣΥΜΠΛΗΡΩΜΑΤΑ ΔΙΑΤΡΟΦΗΣ : ΒΙΤΑΜΙΝΕΣ > ΙΧΝΟΣΤΟΙΧΕΙΑ (0.5167)
enallaktikes-therapeies/orthomoriaka	11	none	0.2214	Μαλλιά > Scalp Scrub > ΘΕΡΑΠΕΙΕΣ ΜΑΛΛΙΩΝ	3	Πρόσωπο > Κρέμες Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131) | Πρόσωπο > Καθαρισμός Προσώπου > ΕΙΔΙΚΕΣ ΘΕΡΑΠΕΙΕΣ ΠΡΟΣΩΠΟΥ (0.2131)
farmakeio/vivlia	9	low	0.5	Φαρμακείο	1	Φαρμακείο (0.5) | Φαρμακείο > Σεξ (0.4167)
viologika-trofima/ypertrofes	9	none	0.2667	Συμπληρώματα > Superfoods - Υπερτροφές	2	Συμπληρώματα > Superfoods - Υπερτροφές > Κουρκουμάς (0.2417) | Συμπληρώματα > Superfoods - Υπερτροφές > Ιπποφαές (0.2417)
athlites/lipodialitika-thermogenetika	8	none	0.0		0	
korean-beauty	7	none	0.0		0	
δερμοκαλλυντικα	3	medium	0.6167	Γυναίκα > Πρόσωπο > Δερμοκαλλυντικά	3	
adynatisma/trofima	2	none	0.325	Σώμα > Αδυνάτισμα και Κυτταρίτιδα	2	Σώμα > Κρέμες Σώματος > ΤΟΠΙΚΟ ΑΔΥΝΑΤΙΣΜΑ (0.2958) | Πρόσωπο > Κρέμες Προσώπου > ΤΟΠΙΚΟ ΑΔΥΝΑΤΙΣΜΑ (0.2958)
gynaika/sex-limpinto	1	none	0.3333	Γυναίκα	1	Φαρμακείο > Σεξ (0.2917) | Γυναίκα > Σώμα (0.2917)
